team_id,mission_id,x_min,x_max,y_min,y_max,effort,n_cells,cost,s_t,budget_remaining,timestamp
team_1,1,15,35,5,15,0.1,200,20.0,0,210.0,2026-05-19T16:43:10.425268
team_1,2,20,30,15,25,0.5,100,50.0,0,160.0,2026-05-19T16:43:10.585130
