team_id,mission_id,x_min,x_max,y_min,y_max,effort,n_cells,cost,s_t,budget_remaining,timestamp
M4204,1,10,20,9,15,2,60,120,0,410,2026-05-23T16:32:33.451826+00:00
M4204,2,12,21,8,14,3,54,162,1,248,2026-05-24T11:18:44.553292+00:00
